time/fps,train/actor_loss,train/n_updates,rollout/ep_len_mean,time/episodes,train/critic_loss,time/total_timesteps,train/learning_rate,rollout/ep_rew_mean,time/time_elapsed
41,-10.136102676391602,43916,36.12,1850,34.6512451171875,53918,0.0001,-1.3289028399999998,2
43,-33.42070388793945,44175,35.88,1860,17.953075408935547,54177,0.0001,-2.72296871,8
44,-27.85026741027832,44501,33.97,1870,38.50290298461914,54503,0.0001,-3.3125235099999992,15
44,-23.273319244384766,44810,31.96,1880,15.580072402954102,54812,0.0001,-2.8970223199999996,22
44,-28.358280181884766,45171,31.83,1890,48.76065444946289,55173,0.0001,-6.13706098,30
44,-25.194372177124023,45469,31.71,1900,32.67926025390625,55471,0.0001,-10.98963293,37
44,-31.292848587036133,45774,31.12,1910,14.632841110229492,55776,0.0001,-16.1781093,44
44,-29.206077575683594,46054,30.94,1920,25.088504791259766,56056,0.0001,-20.374989659999997,51
44,-26.952939987182617,46429,32.34,1930,17.209903717041016,56431,0.0001,-20.510533919999997,59
43,-28.545291900634766,46805,32.74,1940,13.00493335723877,56807,0.0001,-18.5147459,68
43,-20.323974609375,47292,33.76,1950,14.234992027282715,57294,0.0001,-19.03769659,80
43,-18.470870971679688,47621,34.46,1960,13.922060012817383,57623,0.0001,-18.6941076,87
43,-28.392601013183594,47942,34.41,1970,17.242883682250977,57944,0.0001,-18.24004813,95
42,-16.921100616455078,48389,35.79,1980,17.61458396911621,58391,0.0001,-20.978795409999996,106
42,-17.146133422851562,48710,35.39,1990,25.52979850769043,58712,0.0001,-18.17087221,115
42,-21.43511962890625,49016,35.47,2000,26.591167449951172,59018,0.0001,-14.77723919,123
42,-19.785446166992188,49419,36.45,2010,12.771273612976074,59421,0.0001,-12.259867729999998,133
41,-20.081161499023438,49761,37.07,2020,11.875337600708008,59763,0.0001,-10.131434330000001,142
41,-15.915660858154297,50064,36.35,2030,10.758831024169922,60066,0.0001,-8.37459585,150
41,-16.92720603942871,50390,35.85,2040,12.199865341186523,60392,0.0001,-7.796226310000001,159
41,-20.57460594177246,50577,32.85,2050,15.356307029724121,60579,0.0001,-5.547832109999999,163
41,-16.336074829101562,50795,31.74,2060,11.456249237060547,60797,0.0001,-4.685555539999999,169
41,-18.202939987182617,51236,32.94,2070,12.626775741577148,61238,0.0001,-5.51724747,181
40,-18.43694496154785,51604,32.15,2080,14.827994346618652,61606,0.0001,-4.2561117699999995,191
40,-17.051624298095703,51850,31.4,2090,18.48184585571289,61852,0.0001,-4.22483878,198
40,-20.372602462768555,52135,31.19,2100,16.719947814941406,62137,0.0001,-4.7120317,205
40,-18.82077980041504,52492,30.73,2110,10.919471740722656,62494,0.0001,-4.69993739,215
40,-18.987794876098633,52811,30.5,2120,12.89478874206543,62813,0.0001,-5.102152240000002,223
40,-21.7056827545166,53019,29.55,2130,20.76250648498535,63021,0.0001,-5.18974455,229
40,-18.53844451904297,53261,28.71,2140,15.950969696044922,63263,0.0001,-5.361121079999999,235
40,-21.910572052001953,53659,30.82,2150,17.585552215576172,63661,0.0001,-6.249072620000001,245
40,-22.907867431640625,54221,34.26,2160,28.479347229003906,64223,0.0001,-8.41154642,259
40,-21.695316314697266,54634,33.98,2170,21.89413833618164,64636,0.0001,-7.48734696,269
40,-24.481243133544922,54967,33.63,2180,14.982608795166016,64969,0.0001,-6.0409051200000015,277
40,-23.582948684692383,55242,33.92,2190,13.793450355529785,65244,0.0001,-5.524842780000001,284
40,-23.952857971191406,55505,33.7,2200,19.060251235961914,65507,0.0001,-4.871271190000001,291
40,-24.857620239257812,55784,32.92,2210,15.735361099243164,65786,0.0001,-3.65793394,297
40,-22.555097579956055,56061,32.5,2220,17.740001678466797,66063,0.0001,-2.5670895,305
40,-22.814420700073242,56370,33.51,2230,14.097219467163086,66372,0.0001,-2.15577165,313
40,-17.73452377319336,56784,35.23,2240,15.722345352172852,66786,0.0001,-2.74724255,324
39,-23.715805053710938,57037,33.78,2250,23.94967269897461,67039,0.0001,-1.97317296,331
39,-20.088111877441406,57292,30.71,2260,18.008190155029297,67294,0.0001,0.07486665000000013,337
39,-21.590534210205078,57636,30.02,2270,11.390963554382324,67638,0.0001,-0.07983571999999989,346
40,-21.6649227142334,57906,29.39,2280,15.529072761535645,67908,0.0001,0.38869794999999985,352
40,-15.922063827514648,58150,29.08,2290,15.684608459472656,68152,0.0001,0.89008534,358
40,-21.812894821166992,58478,29.73,2300,14.391714096069336,68480,0.0001,0.9754435500000003,366
40,-21.187211990356445,58714,29.3,2310,14.243693351745605,68716,0.0001,0.2530971099999999,372
40,-20.418598175048828,59035,29.74,2320,31.82964324951172,69037,0.0001,-1.9270981500000002,380
40,-17.10388946533203,59420,30.5,2330,16.9962158203125,69422,0.0001,-4.28185401,390
40,-21.708576202392578,59789,30.05,2340,17.300661087036133,69791,0.0001,-4.29874483,399
40,-21.189659118652344,60243,32.06,2350,23.250293731689453,70245,0.0001,-4.48547009,410
40,-22.96725082397461,60733,34.41,2360,19.228940963745117,70735,0.0001,-5.450104470000001,423
40,-23.30401039123535,61144,35.08,2370,16.75579833984375,71146,0.0001,-4.51099713,433
39,-26.667556762695312,61542,36.36,2380,18.56808853149414,71544,0.0001,-5.47718843,443
39,-22.856718063354492,61966,38.16,2390,16.9300594329834,71968,0.0001,-7.128206160000001,454
39,-26.53127098083496,62448,39.7,2400,19.64883041381836,72450,0.0001,-8.07061253,467
39,-25.863595962524414,62767,40.53,2410,14.100881576538086,72769,0.0001,-7.801913119999999,475
39,-29.714683532714844,63019,39.84,2420,24.028045654296875,73021,0.0001,-6.072853120000001,482
39,-25.178571701049805,63277,38.57,2430,19.816211700439453,73279,0.0001,-3.2447965200000004,488
39,-27.66488265991211,63684,38.95,2440,19.477792739868164,73686,0.0001,-2.00890373,498
39,-30.11841583251953,64040,37.97,2450,14.483744621276855,74042,0.0001,0.5106971200000001,507
39,-31.533445358276367,64372,36.39,2460,18.56066131591797,74374,0.0001,3.85653348,516
39,-27.49333381652832,64868,37.24,2470,15.170421600341797,74870,0.0001,1.2567756099999996,528
39,-27.99303436279297,65277,37.35,2480,15.74032211303711,75279,0.0001,-2.08528242,539
39,-27.88678550720215,65832,38.66,2490,21.914344787597656,75834,0.0001,-5.05236275,553
39,-28.894458770751953,66257,38.09,2500,22.370615005493164,76259,0.0001,-6.399511380000002,564
39,-22.80303192138672,66732,39.65,2510,17.373615264892578,76734,0.0001,-10.00075567,577
39,-28.40227508544922,67082,40.63,2520,14.698273658752441,77084,0.0001,-12.404042519999997,585
39,-28.194467544555664,67484,42.07,2530,18.35306167602539,77486,0.0001,-17.466771379999997,596
39,-27.723960876464844,67825,41.41,2540,25.567974090576172,77827,0.0001,-20.04865463,605
39,-25.95135498046875,68049,40.09,2550,23.225645065307617,78051,0.0001,-24.663622829999998,610
39,-30.662120819091797,68456,40.84,2560,16.64423370361328,78458,0.0001,-29.20741287,621
39,-28.39205551147461,68821,39.53,2570,20.85944366455078,78823,0.0001,-27.056605470000004,631
39,-25.69416046142578,69128,38.51,2580,29.964466094970703,79130,0.0001,-24.87390025,639
39,-26.65313720703125,69463,36.31,2590,26.06096649169922,79465,0.0001,-23.448027839999998,648
39,-27.41709327697754,69791,35.34,2600,20.51897430419922,79793,0.0001,-23.990795589999998,657
39,-24.051979064941406,70191,34.59,2610,20.790719985961914,80193,0.0001,-24.832351089999996,668
39,-21.29949188232422,70687,36.05,2620,20.08237648010254,80689,0.0001,-24.851310750000003,680
39,-19.704265594482422,70952,34.68,2630,16.80156707763672,80954,0.0001,-21.234075699999998,687
39,-24.92673110961914,71352,35.27,2640,20.73618507385254,81354,0.0001,-20.47422555,698
39,-24.092029571533203,71662,36.13,2650,22.342674255371094,81664,0.0001,-19.1063976,706
39,-22.910715103149414,71907,34.51,2660,18.59347915649414,81909,0.0001,-17.406098019999998,712
39,-19.122333526611328,72258,34.37,2670,22.82114028930664,82260,0.0001,-18.12600191,721
39,-20.087160110473633,72734,36.06,2680,19.72481918334961,82736,0.0001,-19.052289299999998,734
39,-22.487756729125977,73216,37.53,2690,22.137802124023438,83218,0.0001,-19.519350740000004,747
39,-23.377056121826172,73587,37.96,2700,21.593505859375,83589,0.0001,-17.04754381,757
39,-21.040027618408203,74054,38.63,2710,22.155790328979492,84056,0.0001,-17.477547410000003,769
39,-18.944232940673828,74406,37.19,2720,22.00690460205078,84408,0.0001,-17.63671869,779
39,-18.588455200195312,74781,38.29,2730,22.47278594970703,84783,0.0001,-18.52279503,790
39,-23.24510955810547,75170,38.18,2740,24.145153045654297,85172,0.0001,-21.82669032,800
39,-18.437170028686523,75444,37.82,2750,18.818593978881836,85446,0.0001,-23.50270143,807
39,-18.6881046295166,75665,37.58,2760,23.077219009399414,85667,0.0001,-25.428165079999996,813
39,-19.008615493774414,75848,35.9,2770,21.086788177490234,85850,0.0001,-26.778303479999998,817
39,-19.762874603271484,76033,32.99,2780,18.703529357910156,86035,0.0001,-26.944950130000002,822
39,-19.229778289794922,76230,30.14,2790,18.23786163330078,86232,0.0001,-27.037848219999997,827
39,-23.407197952270508,76419,28.32,2800,16.775997161865234,86421,0.0001,-30.15698108,832
39,-15.492029190063477,76661,26.07,2810,20.82859230041504,86663,0.0001,-28.999242,838
39,-18.65683937072754,77040,26.34,2820,24.163681030273438,87042,0.0001,-29.728714800000002,849
39,-16.755937576293945,77288,25.07,2830,15.884596824645996,87290,0.0001,-31.03584015,855
39,-19.914392471313477,77513,23.43,2840,14.084999084472656,87515,0.0001,-27.95528929,861
