time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,train/value_loss,train/entropy_loss,train/approx_kl,train/clip_range,train/clip_fraction,train/n_updates,train/std,train/policy_gradient_loss,train/loss,train/explained_variance,train/learning_rate
119084,1,226.67277703000002,34,59,382.81,,,,,,,,,,,
121132,2,199.54749140000004,69,58,385.59,140.54728974997997,-27.088961958885193,0.0077817403,0.2,0.061572265625,580,0.939484715461731,-0.006658065738884033,26.81009864807129,0.19290685653686523,0.0003
123180,3,189.16694698000003,104,58,394.4,78.71563728153706,-27.088703376054763,0.006023325,0.2,0.01962890625,590,0.9394155740737915,-0.011888574135809904,10.078137397766113,0.5526720285415649,0.0003
125228,4,189.16694698000003,139,58,394.4,32.14907537251711,-27.08580659031868,0.009617252,0.2,0.07431640625,600,0.9390730857849121,-0.021473701238573995,5.712341785430908,0.7357051372528076,0.0003
127276,5,189.16694698000003,174,58,394.4,8.374828672595322,-27.094849878549574,0.022416737,0.2,0.192236328125,610,0.9406200647354126,-0.021810418550739997,0.41868358850479126,0.6422829627990723,0.0003
129324,6,189.16694698000003,209,58,394.4,7.3292131803464144,-27.129061937332153,0.02474355,0.2,0.214404296875,620,0.9418761134147644,-0.018729660310782492,0.2550804913043976,0.24039316177368164,0.0003
131372,7,146.68656695000004,244,58,474.76,5.583973895013332,-27.117419165372848,0.023308031,0.2,0.242578125,630,0.9401055574417114,-0.01114686006330885,0.5491732358932495,0.23419278860092163,0.0003
133420,8,146.68656695000004,279,58,474.76,7.606831529736519,-27.075956642627716,0.019171787,0.2,0.19326171875,640,0.9378933906555176,-0.029919870117737446,1.4502564668655396,0.22567951679229736,0.0003
135468,9,146.68656695000004,314,58,474.76,4.068558901175857,-27.041361391544342,0.020757742,0.2,0.224560546875,650,0.9370762705802917,-0.02716175533278147,0.7591729164123535,0.29678434133529663,0.0003
137516,10,146.68656695000004,348,58,474.76,1.6698063828982412,-26.984939378499984,0.023218058,0.2,0.241943359375,660,0.9322150945663452,-0.019194483140017836,0.21985481679439545,0.2823715806007385,0.0003
139564,11,146.68656695000004,383,58,474.76,2.1334129378199576,-26.89864808320999,0.024431976,0.2,0.259619140625,670,0.9292364120483398,-0.025434812143794262,0.5352005958557129,0.19134366512298584,0.0003
141612,12,84.21911629,418,58,557.73,1.463457375857979,-26.87047063112259,0.02493556,0.2,0.282275390625,680,0.9294765591621399,-0.021265772050537635,0.1971159279346466,0.7026002407073975,0.0003
143660,13,81.68147224,453,58,562.1,14.659411008656026,-26.86433974504471,0.01385593,0.2,0.13623046875,690,0.9285432696342468,-0.024667098543432076,3.3341431617736816,0.48322594165802,0.0003
145708,14,81.68147224,488,58,562.1,2.5747570142149927,-26.843257915973663,0.020781264,0.2,0.215869140625,700,0.9274662137031555,-0.030411825218470766,0.6706855893135071,0.6798855066299438,0.0003
147756,15,48.986868429999994,523,58,599.2,1.1448252776637673,-26.818852961063385,0.026860813,0.2,0.295849609375,710,0.9265901446342468,-0.02498298616046668,0.3778757154941559,0.5025360584259033,0.0003
149804,16,27.573447470000005,559,58,606.92,11.762988298386336,-26.811423522233962,0.017757129,0.2,0.178076171875,720,0.926654040813446,-0.03225644744816236,5.839158058166504,0.33887606859207153,0.0003
151852,17,14.328548170000003,594,58,621.34,9.00293047428131,-26.819676142930984,0.016199468,0.2,0.166650390625,730,0.9273073077201843,-0.02990439884015359,2.204535722732544,0.6178913116455078,0.0003
153900,18,-57.37314032000001,630,58,542.29,4.69194963760674,-26.814129257202147,0.020925673,0.2,0.21591796875,740,0.9267293810844421,-0.029227616093703546,1.3289238214492798,0.5794865489006042,0.0003
155948,19,-125.33620939000001,665,58,471.85,27.80117508471012,-26.812138152122497,0.013327882,0.2,0.137890625,750,0.9264683723449707,-0.027533308108104393,13.018016815185547,0.6179372072219849,0.0003
157996,20,-161.11579545,704,58,352.29,23.668807628750802,-26.798095774650573,0.016415063,0.2,0.1681640625,760,0.9258641004562378,-0.028960377862676977,6.193269729614258,0.5519958734512329,0.0003
160044,21,-56.52339263999999,747,57,125.0,21.280007523298263,-26.78421793580055,0.01552818,0.2,0.16357421875,770,0.9253371357917786,-0.029169158774311654,9.149690628051758,0.6282885074615479,0.0003
162092,22,-39.74754094,789,57,84.49,18.679879716038705,-26.778195720911025,0.017558724,0.2,0.183251953125,780,0.9250169992446899,-0.031310104684962425,6.072020530700684,0.6443910598754883,0.0003
164140,23,-31.36694759,830,56,70.92,30.18637567460537,-26.786179399490358,0.017306015,0.2,0.176611328125,790,0.9261935949325562,-0.028088113055855502,15.030016899108887,0.6125131845474243,0.0003
166188,24,-30.211963790000006,865,56,70.02,30.45474778711796,-26.775499486923216,0.015312363,0.2,0.17314453125,800,0.9240328073501587,-0.028518972898018545,11.437606811523438,0.7429509162902832,0.0003
168236,25,-20.774501190000002,902,56,52.2,24.12023736536503,-26.750828844308852,0.019365221,0.2,0.207373046875,810,0.9235178828239441,-0.035131816078501285,7.2271857261657715,0.7319742441177368,0.0003
170284,26,-15.698548500000001,938,56,39.83,39.23064855337143,-26.723617434501648,0.018961767,0.2,0.190234375,820,0.9218565225601196,-0.030139752046670763,18.474401473999023,0.7248845100402832,0.0003
172332,27,-11.18864967,975,56,35.43,37.33607121706009,-26.695954698324204,0.018409569,0.2,0.205419921875,830,0.9208641052246094,-0.03311633284756681,15.503656387329102,0.764959990978241,0.0003
